TARA	COMUNA	ORAS	JUDET	CONCATENATE	UID
ROMANIA	Bucuresti	Bucuresti	Bucuresti	Bucuresti (Bucuresti)	12038
ROMANIA	Abrud	Abrud	Alba	Abrud (Alba)	9
ROMANIA	Abrud-Sat	Abrud	Alba	Abrud-Sat din Abrud (Alba)	10
ROMANIA	Achimetesti	Avram Iancu	Alba	Achimetesti din Avram Iancu (Alba)	15
ROMANIA	Acmariu	Blandiana	Alba	Acmariu din Blandiana (Alba)	17
ROMANIA	Alba Iulia	Alba Iulia	Alba	Alba Iulia (Alba)	68
ROMANIA	Albac	Albac	Alba	Albac (Alba)	69
ROMANIA	Almasu de Mijloc	Almasu Mare	Alba	Almasu de Mijloc din Almasu Mare (Alba)	131
ROMANIA	Almasu Mare	Almasu Mare	Alba	Almasu Mare (Alba)	132
ROMANIA	Ampoita	Metes	Alba	Ampoita din Metes (Alba)	170
ROMANIA	Anghelesti	Bucium	Alba	Anghelesti din Bucium (Alba)	180
ROMANIA	Arieseni	Arieseni	Alba	Arieseni (Alba)	257
ROMANIA	Arti	Sugag	Alba	Arti din Sugag (Alba)	291
ROMANIA	Asinip	Lopadea Noua	Alba	Asinip din Lopadea Noua (Alba)	298
ROMANIA	Avram Iancu	Avram Iancu	Alba	Avram Iancu (Alba)	315
ROMANIA	Avramesti	Avram Iancu	Alba	Avramesti din Avram Iancu (Alba)	321
ROMANIA	Baba	Horea	Alba	Baba din Horea (Alba)	332
ROMANIA	Bacainti	Sibot	Alba	Bacainti din Sibot (Alba)	355
ROMANIA	Badai	Avram Iancu	Alba	Badai din Avram Iancu (Alba)	379
ROMANIA	Bagau	Lopadea Noua	Alba	Bagau din Lopadea Noua (Alba)	404
ROMANIA	Bai	Vidra	Alba	Bai din Vidra (Alba)	415
ROMANIA	Baia de Aries	Baia De Aries	Alba	Baia de Aries (Alba)	417
ROMANIA	Balcaciu	Jidvei	Alba	Balcaciu din Jidvei (Alba)	492
ROMANIA	Balesti	Bistra	Alba	Balesti din Bistra (Alba)	510
ROMANIA	Balmosesti	Rosia Montana	Alba	Balmosesti din Rosia Montana (Alba)	517
ROMANIA	Balomiru de Camp	Sibot	Alba	Balomiru de Camp din Sibot (Alba)	522
ROMANIA	Barabant	Alba Iulia	Alba	Barabant din Alba Iulia (Alba)	606
ROMANIA	Barasti	Albac	Alba	Barasti din Albac (Alba)	617
ROMANIA	Barbesti	Mogos	Alba	Barbesti din Mogos (Alba)	639
ROMANIA	Bardesti	Lupsa	Alba	Bardesti din Lupsa (Alba)	662
ROMANIA	Barlesti	Bistra	Alba	Barlesti din Bistra (Alba)	672
ROMANIA	Barlesti	Mogos	Alba	Barlesti din Mogos (Alba)	674
ROMANIA	Barlesti	Scarisoara	Alba	Barlesti din Scarisoara (Alba)	675
ROMANIA	Barlesti-Catun	Mogos	Alba	Barlesti-Catun din Mogos (Alba)	676
ROMANIA	Barsana	Sugag	Alba	Barsana din Sugag (Alba)	690
ROMANIA	Barzan	Lupsa	Alba	Barzan din Lupsa (Alba)	719
ROMANIA	Barzogani	Mogos	Alba	Barzogani din Mogos (Alba)	727
ROMANIA	Bazesti	Sohodol	Alba	Bazesti din Sohodol (Alba)	772
ROMANIA	Beldiu	Teius	Alba	Beldiu din Teius (Alba)	820
ROMANIA	Benic	Galda De Jos	Alba	Benic din Galda De Jos (Alba)	844
ROMANIA	Berghin	Berghin	Alba	Berghin (Alba)	880
ROMANIA	Beta	Lopadea Noua	Alba	Beta din Lopadea Noua (Alba)	904
ROMANIA	Bidigesti	Ciuruleasa	Alba	Bidigesti din Ciuruleasa (Alba)	939
ROMANIA	Biia	Sona	Alba	Biia din Sona (Alba)	945
ROMANIA	Bilanesti	Sohodol	Alba	Bilanesti din Sohodol (Alba)	948
ROMANIA	Bisericani	Bucium	Alba	Bisericani din Bucium (Alba)	965
ROMANIA	Blaj	Blaj	Alba	Blaj (Alba)	996
ROMANIA	Blandiana	Blandiana	Alba	Blandiana (Alba)	1008
ROMANIA	Blidesti	Rosia Montana	Alba	Blidesti din Rosia Montana (Alba)	1024
ROMANIA	Bobaresti	Sohodol	Alba	Bobaresti din Sohodol (Alba)	1033
ROMANIA	Bobaresti	Vidra	Alba	Bobaresti din Vidra (Alba)	1034
ROMANIA	Bocesti	Mogos	Alba	Bocesti din Mogos (Alba)	1054
ROMANIA	Bocsitura	Cugir	Alba	Bocsitura din Cugir (Alba)	1067
ROMANIA	Bodesti	Vadu Motilor	Alba	Bodesti din Vadu Motilor (Alba)	1076
ROMANIA	Bodresti	Ciuruleasa	Alba	Bodresti din Ciuruleasa (Alba)	1084
ROMANIA	Bogdanesti	Mogos	Alba	Bogdanesti din Mogos (Alba)	1112
ROMANIA	Bogdanesti	Vidra	Alba	Bogdanesti din Vidra (Alba)	1118
ROMANIA	Boglesti	Ciuruleasa	Alba	Boglesti din Ciuruleasa (Alba)	1125
ROMANIA	Boldesti	Avram Iancu	Alba	Boldesti din Avram Iancu (Alba)	1160
ROMANIA	Bolovanesti	Ceru - Bacainti	Alba	Bolovanesti din Ceru - Bacainti (Alba)	1172
ROMANIA	Boncesti	Campeni	Alba	Boncesti din Campeni (Alba)	1177
ROMANIA	Borlesti	Campeni	Alba	Borlesti din Campeni (Alba)	1205
ROMANIA	Botani	Ramet	Alba	Botani din Ramet (Alba)	1248
ROMANIA	Botesti	Campeni	Alba	Botesti din Campeni (Alba)	1257
ROMANIA	Botesti	Scarisoara	Alba	Botesti din Scarisoara (Alba)	1260
ROMANIA	Botesti	Zlatna	Alba	Botesti din Zlatna (Alba)	1262
ROMANIA	Boz	Dostat	Alba	Boz din Dostat (Alba)	1284
ROMANIA	Bradeana	Sohodol	Alba	Bradeana din Sohodol (Alba)	1309
ROMANIA	Bradesti	Ramet	Alba	Bradesti din Ramet (Alba)	1316
ROMANIA	Bradet	Almasu Mare	Alba	Bradet din Almasu Mare (Alba)	1319
ROMANIA	Bubesti	Arieseni	Alba	Bubesti din Arieseni (Alba)	1486
ROMANIA	Bucerdea Granoasa	Craciunelu De Jos	Alba	Bucerdea Granoasa din Craciunelu De Jos (Alba)	1489
ROMANIA	Bucerdea Vanoasa	Ighiu	Alba	Bucerdea Vanoasa din Ighiu (Alba)	1490
ROMANIA	Bucium-Sat	Bucium	Alba	Bucium-Sat din Bucium (Alba)	1503
ROMANIA	Bucuru	Cugir	Alba	Bucuru din Cugir (Alba)	1529
ROMANIA	Budaiesti	Albac	Alba	Budaiesti din Albac (Alba)	1549
ROMANIA	Budeni	Zlatna	Alba	Budeni din Zlatna (Alba)	1554
ROMANIA	Bulbuc	Ceru - Bacainti	Alba	Bulbuc din Ceru - Bacainti (Alba)	1610
ROMANIA	Buninginea	Ciuruleasa	Alba	Buninginea din Ciuruleasa (Alba)	1647
ROMANIA	Bunta	Rosia Montana	Alba	Bunta din Rosia Montana (Alba)	1649
ROMANIA	Burzesti	Vadu Motilor	Alba	Burzesti din Vadu Motilor (Alba)	1680
ROMANIA	Burzonesti	Sohodol	Alba	Burzonesti din Sohodol (Alba)	1681
ROMANIA	Butesti	Horea	Alba	Butesti din Horea (Alba)	1702
ROMANIA	Butesti	Mogos	Alba	Butesti din Mogos (Alba)	1703
ROMANIA	Calene	Cugir	Alba	Calene din Cugir (Alba)	1792
ROMANIA	Calnic	Calnic	Alba	Calnic (Alba)	1824
ROMANIA	Calugaresti	Avram Iancu	Alba	Calugaresti din Avram Iancu (Alba)	1849
ROMANIA	Campeni	Campeni	Alba	Campeni (Alba)	1867
ROMANIA	Campu Goblii	Vintu De Jos	Alba	Campu Goblii din Vintu De Jos (Alba)	1878
ROMANIA	Candesti	Avram Iancu	Alba	Candesti din Avram Iancu (Alba)	1894
ROMANIA	Capalna de Jos	Jidvei	Alba	Capalna de Jos din Jidvei (Alba)	1908
ROMANIA	Capalna	Sasciori	Alba	Capalna din Sasciori (Alba)	1911
ROMANIA	Captalan	Noslac	Alba	Captalan din Noslac (Alba)	1932
ROMANIA	Capud	Teius	Alba	Capud din Teius (Alba)	1939
ROMANIA	Carasti	Avram Iancu	Alba	Carasti din Avram Iancu (Alba)	1963
ROMANIA	Carpenii de Sus	Spring	Alba	Carpenii de Sus din Spring (Alba)	2009
ROMANIA	Carpinis	Garbova	Alba	Carpinis din Garbova (Alba)	2015
ROMANIA	Carpinis	Rosia Montana	Alba	Carpinis din Rosia Montana (Alba)	2016
ROMANIA	Cartulesti	Avram Iancu	Alba	Cartulesti din Avram Iancu (Alba)	2032
ROMANIA	Casa de Piatra	Arieseni	Alba	Casa de Piatra din Arieseni (Alba)	2035
ROMANIA	Casoaia	Avram Iancu	Alba	Casoaia din Avram Iancu (Alba)	2050
ROMANIA	Cenade	Cenade	Alba	Cenade (Alba)	2138
ROMANIA	Cerbu	Bucium	Alba	Cerbu din Bucium (Alba)	2160
ROMANIA	Cergau Mare	Cergau	Alba	Cergau Mare din Cergau (Alba)	2171
ROMANIA	Cergau Mic	Cergau	Alba	Cergau Mic din Cergau (Alba)	2172
ROMANIA	Certege	Campeni	Alba	Certege din Campeni (Alba)	2203
ROMANIA	Ceru-Bacainti	Ceru - Bacainti	Alba	Ceru-Bacainti din Ceru - Bacainti (Alba)	2208
ROMANIA	Cetatea de Balta	Cetatea De Balta	Alba	Cetatea de Balta (Alba)	2215
ROMANIA	Cetea	Galda De Jos	Alba	Cetea din Galda De Jos (Alba)	2230
ROMANIA	Cheile Cibului	Almasu Mare	Alba	Cheile Cibului din Almasu Mare (Alba)	2245
ROMANIA	Cheleteni	Bistra	Alba	Cheleteni din Bistra (Alba)	2247
ROMANIA	Cib	Almasu Mare	Alba	Cib din Almasu Mare (Alba)	2375
ROMANIA	Cicard	Lopadea Noua	Alba	Cicard din Lopadea Noua (Alba)	2380
ROMANIA	Cicau	Miraslau	Alba	Cicau din Miraslau (Alba)	2382
ROMANIA	Cioara de Sus	Baia De Aries	Alba	Cioara de Sus din Baia De Aries (Alba)	2408
ROMANIA	Ciocasu	Vintu De Jos	Alba	Ciocasu din Vintu De Jos (Alba)	2436
ROMANIA	Cionesti	Albac	Alba	Cionesti din Albac (Alba)	2456
ROMANIA	Cistei	Mihalt	Alba	Cistei din Mihalt (Alba)	2505
ROMANIA	Cisteiu de Mures	Ocna Mures	Alba	Cisteiu de Mures din Ocna Mures (Alba)	2506
ROMANIA	Ciuculesti	Bucium	Alba	Ciuculesti din Bucium (Alba)	2514
ROMANIA	Ciugud	Ciugud	Alba	Ciugud (Alba)	2518
ROMANIA	Ciugudu de Jos	Unirea	Alba	Ciugudu de Jos din Unirea (Alba)	2519
ROMANIA	Ciugudu de Sus	Unirea	Alba	Ciugudu de Sus din Unirea (Alba)	2520
ROMANIA	Ciuguzel	Lopadea Noua	Alba	Ciuguzel din Lopadea Noua (Alba)	2521
ROMANIA	Ciuldesti	Bistra	Alba	Ciuldesti din Bistra (Alba)	2526
